mean, variance, stdDev, stdErr
0.005645, 4.158663799999996E-6, 0.002039280216154709, 2.039280216154709E-4
0.0169922, 4.5821176000010715E-7, 6.769134065743618E-4, 6.769134065743618E-5
0.031532199999999996, 3.46936697600002E-5, 0.005890133254859367, 5.890133254859367E-4
0.04293639999999999, 1.9414440000520977E-8, 1.393357097104722E-4, 1.393357097104722E-5
0.0667142, 4.8735160000472344E-8, 2.207604131190018E-4, 2.207604131190018E-5
0.0718175, 0.0026433581980499984, 0.051413599349296665, 0.0051413599349296665
0.0196721, 3.007491489999978E-6, 0.001734212066040361, 1.7342120660403612E-4
0.0842765, 0.029325473493649997, 0.17124682038989802, 0.017124682038989803
0.033214499999999994, 1.4489530450000456E-5, 0.003806511585428377, 3.806511585428377E-4
0.0375766, 1.755146399999314E-7, 4.189446741515297E-4, 4.189446741515297E-5
0.08778330000000001, 5.7003943610000815E-5, 0.007550095602706022, 7.550095602706022E-4
0.0246042, 2.480863496000013E-5, 0.004980826734589362, 4.980826734589362E-4
0.0632074, 0.0011569624368399992, 0.03401415053826862, 0.003401415053826862
0.09935820000000001, 1.2943718359997858E-5, 0.0035977379504346695, 3.5977379504346696E-4
0.0925444, 1.997929244400027E-4, 0.014134812501055779, 0.0014134812501055778
0.1164645, 2.1156791044999942E-4, 0.014545374194224067, 0.0014545374194224066
0.1513041, 4.7725371369000333E-4, 0.021846137271609445, 0.0021846137271609445
0.23988589999999999, 0.005614320072090007, 0.07492876665266823, 0.007492876665266823
0.348995, 0.004534551731400022, 0.06733908026844458, 0.006733908026844458
1.8201269, 0.03949245081409014, 0.19872707619770927, 0.019872707619770925
4.1446293, 0.11485529209321044, 0.3389030718261645, 0.03389030718261645
6.6913699, 0.0641041320782989, 0.2531879382559503, 0.025318793825595032
