size, mean, variance, stdDev, stdErr
10, 0.006072599999999999, 6.861259240000012E-6, 0.002619400549744161, 2.619400549744161E-4
20, 0.0184177, 1.9539810000004845E-8, 1.3978487042596864E-4, 1.3978487042596863E-5
30, 0.04125449999999999, 3.886332050000597E-6, 0.001971378210795837, 1.9713782107958373E-4
40, 0.0959941, 4.2269649869000094E-4, 0.020559584107904542, 0.0020559584107904543
50, 0.110734, 4.422061999995869E-7, 6.649858645111088E-4, 6.649858645111088E-5
60, 0.158831, 2.9497932000008276E-6, 0.0017174962008694014, 1.7174962008694014E-4
70, 0.22927979999999998, 0.0012637562541600103, 0.03554934956029449, 0.0035549349560294492
80, 0.28698480000000004, 4.4928421375999006E-4, 0.021196325477780106, 0.0021196325477780107
90, 0.3518173, 6.5025620997472E-7, 8.063846538561607E-4, 8.063846538561607E-5
100, 0.43931529999999996, 3.095229266100452E-4, 0.017593263671361412, 0.0017593263671361412
200, 1.7625643, 0.010911052495010676, 0.10445598352899979, 0.010445598352899979
300, 3.9118997999999996, 0.0019503466347661202, 0.044162729023081444, 0.004416272902308145
400, 7.0353753999999995, 0.006230538040256306, 0.07893375729215166, 0.007893375729215165
500, 11.176013200000002, 0.08330371211772558, 0.2886238245843984, 0.02886238245843984
600, 15.8813265, 0.01309671956261127, 0.11444089986805972, 0.011444089986805971
700, 23.922545500000002, 7.702289645124893, 2.7752999198509865, 0.27752999198509865
800, 28.4242379, 0.2598477478687755, 0.5097526339988598, 0.050975263399885985
900, 38.075063799999995, 8.470042040767567, 2.9103336648514317, 0.29103336648514316
1000, 44.0681872, 0.12118750302124681, 0.3481199549311226, 0.03481199549311226
2000, 215.3191601, 3519.209132817923, 59.322922490534154, 5.932292249053416
3000, 402.45248549999997, 50.640451108600246, 7.116210445778023, 0.7116210445778023
4000, 718.6858571, 329.5416377391084, 18.15328173469217, 1.8153281734692173
